"job_title","company_name","source","id","timestamp","timezone"
"IT Governance, Risk & Compliance","PT Asuransi Jiwa Sinarmas MSIG Tbk.","Jobstreet","3999591","2022-08-19 11:58:12","UTC"
"Onboarding Staff","Followme Technology Ltd","Glints Native","8717df38-f90e-42d1-881f-f4a1b5c149e3","2022-08-19 11:59:03","UTC"
"INTERNAL AUDITOR","PT Praja Karalan Perdana","Jobstreet","4002571","2022-08-22 11:49:53","UTC"
"Legal Compliance Unit Head","PT Sinarmas Hana Finance","Jobstreet","4002590","2022-08-22 11:49:53","UTC"
"Internal Audit  Team Leader Shipping","PT Pancaran Samudera Transport","Jobstreet","4002059","2022-08-22 11:49:53","UTC"
"Business Process Assistant","Kanmo Group","Jobstreet","4004623","2022-08-23 11:52:07","UTC"
"Operational Risk & Information Risk Management  Analyst","PT AXA Mandiri Financial Service","Jobstreet","4004901","2022-08-24 11:50:07","UTC"
"IT Policy & Compliance","PT Sukanda Djaya","Jobstreet","4007565","2022-08-25 12:01:09","UTC"
"Internal Audit Supervisor","Agung Sedayu Group","Jobstreet","4011493","2022-08-29 11:54:53","UTC"
"REGIONAL SERVICE DEPUTY","PT Intrias Mandiri Sejati","Jobstreet","4013125","2022-08-30 11:54:06","UTC"
"IT Compliance Staff","","Jobstreet","4012939","2022-08-30 11:54:06","UTC"
"Internal Audit Staff","Agung Sedayu Group","Jobstreet","4013376","2022-08-30 11:54:06","UTC"
"System Administrator","PT Infinitium Solutions","Jobstreet","4014502","2022-08-31 11:50:41","UTC"
"Branch SOP Officer","PT Bank JTrust Indonesia, Tbk","Jobstreet","4014423","2022-08-31 11:50:41","UTC"
